ClientID,Age,Gender,Race,Ethnicity,VeteranStatus
401630,23.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
401763,53.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
314853,54.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
400077,42.0,Female,White (HUD),Data not collected (HUD),No (HUD)
386115,52.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
399904,58.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
394031,41.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
402258,40.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
403050,23.0,Male,American Indian or Alaska Native (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
383149,47.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
387590,38.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
403483,47.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
224787,65.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
225552,51.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
392386,61.0,Male,American Indian or Alaska Native (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
262238,19.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
384147,59.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
403049,63.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
361597,47.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
365130,23.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
382672,55.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
397312,42.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
156978,34.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
398931,51.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
399459,53.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
384776,53.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
333631,53.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
166457,52.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
219392,29.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
397427,60.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
187276,51.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
217836,55.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
190759,47.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
397646,58.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
402256,37.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
296887,61.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
381763,35.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
195489,41.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
143061,60.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
399250,30.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
406857,38.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
181734,52.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
162076,43.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
208663,25.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
402257,22.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
407754,30.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
407001,58.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
405094,52.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
319129,51.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
406576,44.0,Male,White (HUD),Hispanic/Latino (HUD),No (HUD)
330427,68.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
10107,59.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
167439,64.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
203783,54.0,Male,Black or African American (HUD),Hispanic/Latino (HUD),No (HUD)
351504,58.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
167911,64.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
316159,51.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
402130,51.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
387703,39.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
370346,53.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
280121,53.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
403361,52.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
403936,37.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
373323,50.0,Male,American Indian or Alaska Native (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
404041,44.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
281794,44.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
288078,36.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
253473,53.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
128049,56.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
365130,23.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
399024,50.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
294505,47.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
408793,39.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
169662,40.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
368692,33.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
395939,57.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
402258,40.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
333631,53.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
172864,24.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
404523,46.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
408496,44.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
278004,43.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
408494,31.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
375893,44.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
399340,20.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
173737,31.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
106155,56.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
275835,49.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
313400,48.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
260878,30.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
409235,53.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
407019,61.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
169422,32.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
409236,42.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
65851,50.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
409062,34.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
167279,50.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
373731,27.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
333631,53.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
280121,53.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
291392,56.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
378313,49.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
103533,56.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
231530,40.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
231530,40.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
123122,51.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
330427,68.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
409450,27.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
403186,22.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
194903,32.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
157272,27.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
322709,23.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
409587,55.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
402258,40.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
3953,64.0,Male,Black or African American (HUD),Client refused (HUD),No (HUD)
409686,77.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
207787,37.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
157088,56.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
160586,41.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
300905,30.0,Trans Female (MTF or Male to Female),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
262238,19.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
408051,28.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
403469,61.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
409782,55.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
409781,38.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
314853,54.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
190642,68.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
76511,47.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
90711,63.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
157473,53.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
371777,36.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
346065,51.0,Male,White (HUD),Hispanic/Latino (HUD),No (HUD)
280218,44.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
406433,19.0,Female,Black or African American (HUD),Hispanic/Latino (HUD),No (HUD)
385899,51.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
410002,28.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
214022,55.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
344699,53.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
344697,46.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
300905,30.0,Trans Female (MTF or Male to Female),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
273104,65.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
409923,33.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
278004,43.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
409062,34.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
410000,47.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
404217,25.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
299942,54.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
123122,51.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
390302,47.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
399969,31.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
124817,56.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
262238,19.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
410222,28.0,Male,White (HUD),Hispanic/Latino (HUD),No (HUD)
180383,44.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
210475,69.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
181734,53.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
271159,28.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
88282,59.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
381470,58.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
299942,54.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
294505,47.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
365130,23.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
399024,50.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
401630,23.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
320781,41.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
184306,58.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
387703,39.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
123882,66.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
410574,53.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
401630,23.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
400528,20.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
410575,42.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
330427,68.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
223445,32.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
172032,25.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
299942,54.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
2054,62.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
219392,29.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
335050,45.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
411383,57.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
198791,37.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
65139,41.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
174808,59.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
394031,41.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
389214,20.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
404041,44.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
139131,62.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
411376,49.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
365130,23.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
403186,22.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
181734,53.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
411381,52.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
90711,63.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
169662,40.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
411378,25.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
385332,41.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
330427,68.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
365130,23.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
403936,37.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
389214,20.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
2416,48.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
411485,36.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
320781,41.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
157272,27.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
405094,52.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
143061,60.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
402130,51.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
219979,40.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
411382,23.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
280218,44.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
411380,35.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
411386,49.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
406433,19.0,Female,Black or African American (HUD),Hispanic/Latino (HUD),No (HUD)
355911,48.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
398931,51.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
401630,23.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
392703,43.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
129280,55.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
231530,40.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
214022,56.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
411775,30.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
385332,41.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
223222,47.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
397646,58.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
411844,30.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
299695,57.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
223445,32.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
411746,57.0,Male,White (HUD),Hispanic/Latino (HUD),No (HUD)
172046,55.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
381470,58.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
404041,44.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
223222,47.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
188933,42.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
2054,62.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
332209,56.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
409782,55.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
333120,37.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
412097,40.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
340736,23.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
411981,29.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
180383,44.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
272366,56.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
167439,64.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
365130,23.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
381185,55.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
412307,20.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
123882,66.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
411775,30.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
172434,61.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
344699,53.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
167874,27.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
174808,59.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
411844,30.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
401999,46.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
167827,36.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
403745,31.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
389431,37.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
2024,46.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
257677,24.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
381739,25.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
365130,23.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
143061,60.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
412579,48.0,Female,Black or African American (HUD),Hispanic/Latino (HUD),No (HUD)
160859,53.0,Male,American Indian or Alaska Native (HUD),Hispanic/Latino (HUD),No (HUD)
412724,50.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
183882,45.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
412723,26.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
412722,43.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
